station,lat,lon,mean_demand,cluster_id,cluster_label
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072,12.114874815905743,0,medium
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),45.508204615051355,-73.56881439685822,14.165683508591947,0,medium
Métro Préfontaine (Préfontaine / Hochelaga),45.54224663397568,-73.55461478233337,8.77680250783699,1,low
Métro Rosemont (de St-Vallier / Rosemont),45.531921043052655,-73.59804779291153,11.717659983521012,0,medium
Métro Sauvé (Berri / Sauvé),45.55069206841976,-73.65636706352234,8.196304231387252,1,low
Métro Sherbrooke (de Rigaud / Berri),45.51814312154928,-73.56800436973572,17.699599151143598,0,medium
Métro St-Laurent (de Maisonneuve / St-Laurent),45.51074821798916,-73.56512099504471,24.377743902439025,2,high
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50363996257211,-73.6182689666748,9.884293193717278,1,low
Métro Vendôme (de Marlowe / de Maisonneuve),45.47393028235147,-73.60473453998564,16.681036630949414,0,medium
Métro Verdun (Willibrord / de Verdun),45.45944369868444,-73.57247931886377,9.402869329197364,1,low
Métro Viau (Pierre-de-Coubertin / Viau),45.56221872617909,-73.54626774787903,9.8035027765912,1,low
Métro de Castelnau (de Castelnau / St-Laurent),45.53552563367942,-73.61981123685837,8.453257018261107,1,low
Métro de l'Église (Ross / de l'Église),45.462835777941144,-73.565876549128,9.654065814522708,1,low
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.5102725432849,-73.61140972936482,8.408378455400399,1,low
Notre-Dame / St-Martin,45.48830194643546,-73.56871783733366,8.162375037867314,1,low
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,7.505422993492408,1,low
Ontario / Sicard,45.55626186680846,-73.53744059801102,6.613192612137203,1,low
Ottawa / William,45.48972725318433,-73.56406286358833,7.9830136986301365,1,low
Ottawa / du Séminaire,45.4912954250061,-73.56159925460815,13.153846153846153,0,medium
Panet / Ste-Catherine,45.51999897796297,-73.5548883676529,6.906427990235964,1,low
Parc Hilda-Ramacière (de Bullion / Prince-Arthur),45.51562131982338,-73.57212960720062,9.645958083832335,1,low
